t,age_start_year,prob_alive_start_year,reserve_start,premium_info,financial_margin,mortality_gain,loading_release,annual_profit,discounted_profit_4pct
1,40,1.0,0.0,1727.4064870058348,25.911097305087523,0.0,85.07926646491114,110.99036376999867,106.72150362499872
2,41,0.9982511020570388,1583.655052117455,1727.4064870058348,49.66592308684934,0.0,84.93047151080202,134.59639459765137,124.44193287504748
3,42,0.9963358115957367,3210.2912418519945,1727.4064870058348,74.06546593286744,0.0,84.7675200032872,158.83298593615464,141.2019461340701
4,43,0.9942386544792264,4881.709286186146,1727.4064870058348,99.1367365978797,0.0,84.58909541415282,183.72583201203253,157.04961120430875
5,44,0.991942789981961,6599.877648399613,1727.4064870058348,124.90926203108171,0.0,84.39376494682264,209.30302697790435,172.03183139992345
6,45,0.9894299049816287,8366.955969268822,1727.4064870058348,151.41543684411985,0.0,84.1799705342837,235.59540737840354,186.19447264646345
7,46,0.9866801031179734,10185.322093042296,1727.4064870058348,178.69092870072197,0.0,83.94601940880005,262.636948109522,199.5824952734517
8,47,0.9836717894252439,12057.603275213718,1727.4064870058348,206.7751464332933,0.0,83.69007428652628,290.46522071981957,212.24009167371145
9,48,0.9803815511747638,13986.712264788413,1727.4064870058348,235.7117812769137,0.0,83.41014322968064,319.1219245065944,224.21083119072216
10,49,0.9767840359461573,15975.889080985704,1727.4064870058348,265.5494335198731,0.0,83.10406927293445,348.65350279280756,235.5378138224263
11,50,0.9728518282892631,18028.749458142007,1727.4064870058348,296.34233917721764,0.0,82.7695199298982,379.11185910711583,246.26383460548266
12,51,0.9685553267539166,20149.341119276723,1727.4064870058348,328.15121409423836,0.0,82.40397673090555,410.5551908251439,256.43156087916554
13,52,0.9638626235629669,22342.209266319358,1727.4064870058348,361.04423629987787,0.0,82.004724985682,443.04896128555987,266.0837250369935
14,53,0.9587393897974478,24612.47295348544,1727.4064870058348,395.09819160736913,0.0,81.56884401498336,476.6670356223525,275.2633358744427
15,54,0.9531487696649262,26965.914352629123,1727.4064870058348,430.39981259452435,0.0,81.09319815502448,511.49301074954883,284.013912255164
16,55,0.9470512882463639,29409.083342117403,1727.4064870058348,467.04734743684855,0.0,80.57442890864975,547.6217763454983,292.3797435744648
17,56,0.9404047780769743,31949.420375136146,1727.4064870058348,505.15240293212963,0.0,80.00894869888653,585.1613516310161,300.4061824338239
18,57,0.933164331025322,34595.40123686401,1727.4064870058348,544.8421158580477,0.0,79.39293677485394,624.2350526329017,308.1399761005802
19,58,0.9252822832031143,37356.70811840191,1727.4064870058348,586.2617190811162,0.0,78.72233792789916,664.9840570090154,315.6296447729261
20,59,0.916708242073061,40244.43246545584,1727.4064870058348,629.5775842869251,0.0,77.99286479791424,707.5704490848393,322.9259164801067
21,60,0.9073891665253724,43271.316362937454,1727.4064870058348,674.9808427491494,0.0,77.20000468618578,752.1808474353352,330.0822307231852
22,61,0.897269512457972,46452.04087398909,1727.4064870058348,722.6917104149239,0.0,76.3390319412527,799.0307423561767,337.15532583661883
23,62,0.8862914583020196,49803.57187126181,1727.4064870058348,772.9646753740146,0.0,75.4050271464522,848.3697025204668,344.2059287016159
24,63,0.8743952269465902,53345.57662372614,1727.4064870058348,826.0947466609796,0.0,74.39290450903542,900.4876511700149,351.2995701031221
25,64,0.8615195225750126,57100.92792785261,1727.4064870058348,882.4250162228766,0.0,73.29744902588253,955.7224652487591,358.50755500638974
26,65,0.847602102940864,61096.3171604399,0.0,916.4447574065986,0.0,-84.7602102940864,831.6845471125122,299.97966134315556
27,66,0.8325805094553487,58753.5955706345,0.0,881.3039335595174,0.0,-83.25805094553486,798.0458826139826,276.7755358155505
28,67,0.8163929789520822,56416.53258729046,0.0,846.2479888093568,0.0,-81.63929789520822,764.6086909141486,254.9797727648008
29,68,0.7989795619021272,54087.259399002556,0.0,811.3088909850383,0.0,-79.89795619021271,731.4109347948256,234.52795096342027
30,69,0.7802834718612188,51767.80527456516,0.0,776.5170791184773,0.0,-78.02834718612188,698.4887319323554,215.35711542382734
31,70,0.7602526896484116,49460.05317018684,0.0,741.9007975528026,0.0,-76.02526896484116,665.8755285879614,197.40563077917065
32,71,0.7388418426933853,47165.686466274565,0.0,707.4852969941185,0.0,-73.88418426933853,633.6011127247799,180.6130280157
33,72,0.7160143745622106,44886.12454882124,0.0,673.2918682323185,0.0,-71.60143745622106,601.6904307760974,164.91984110900503
34,73,0.6917450111963488,42622.444140589185,0.0,639.3366621088378,0.0,-69.17450111963488,570.1621609892029,150.26742891468683
35,74,0.6660225181145665,40375.282148538885,0.0,605.6292322280832,0.0,-66.60225181145665,539.0269804166265,136.59777597698945
36,75,0.638852725924532,38144.71418028497,0.0,572.1707127042746,0.0,-63.885272592453205,508.2854401118214,123.85326352862046
37,76,0.6102617791799813,35930.10057600664,0.0,538.9515086400996,0.0,-61.026177917998126,477.92533072210153,111.97639853683192
38,77,0.5802995352284023,33729.88847453449,0.0,505.94832711801735,0.0,-58.02995352284023,447.9183735951771,100.90948371716422
39,78,0.5490430048178984,31541.35358096294,0.0,473.12030371444405,0.0,-54.90430048178984,418.2160032326542,90.59420424712637
40,79,0.5165996849388573,29360.25815011761,0.0,440.40387225176414,0.0,-51.659968493885735,388.7439037578784,80.97109633227082
41,80,0.48311058748133495,27180.391023673805,0.0,407.70586535510705,0.0,-48.3110587481335,359.39480660697353,71.97884704325865
42,81,0.44875271669144395,24992.939411126605,0.0,374.89409116689905,0.0,-44.8752716691444,330.01881949775463,63.553351177865125
43,82,0.41374069748016606,22785.617333112394,0.0,341.7842599966859,0.0,-41.37406974801661,300.41019024866927,55.62641486784866
44,83,0.3783272106208868,20541.437059887106,0.0,308.1215558983066,0.0,-37.83272106208868,270.2888348362179,48.12394003519135
45,84,0.34280185723513534,18236.948784011583,0.0,273.55423176017376,0.0,-34.28018572351353,239.27404603666022,40.96333667827573
46,85,0.3074880635810396,15839.675324856647,0.0,237.5951298728497,0.0,-30.74880635810396,206.84632351474573,34.049771233296475
47,86,0.27273766015138845,13304.307032465915,0.0,199.5646054869887,0.0,-27.273766015138847,172.29083947184986,27.270634332280416
48,87,0.2389228401380172,10566.95126791214,0.0,158.5042690186821,0.0,-23.89228401380172,134.61198500488038,20.487239389598756
49,88,0.20642533515639144,7536.267201805751,0.0,113.04400802708626,0.0,-20.642533515639144,92.40147451144712,13.522135264719527
50,89,0.1756228519676184,4079.5040461414596,0.0,61.192560692121894,0.0,-17.56228519676184,43.63027549536005,6.139330172661864
